k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae,sample id,sample_name,sample number,collection date,Week,Tempreture,Second Tempreture,Expermint,Description,Material_type,temp
3,55,31,ST7_7,ST7,7,12/15/2021,1,31.9,32,ST,Steel Test,Steel,warm
57,119,25,PT7_8,PT7,8,12/15/2021,1,31,31.1,PT,PVC Test,PVC,warm
33,135,15,CT7_9,CT7,9,12/15/2021,1,30.2,30.2,CT,Copper Test,Copper,warm
8,1035,340,CC7_10,CC7,10,12/15/2021,1,23.9,22.9,CC,Copper Control,Copper,cold
19,162,28,PC7_11,PC7,11,12/15/2021,1,22.9,23.8,PC,PVC Control,PVC,cold
4,57,0,SC7_12,SC7,12,12/15/2021,1,23.5,23.4,SC,Steel Control,Steel,cold
36,0,0,ST8_13,ST8,13,12/18/2021,1,31.9,31.8,ST,Steel Test,Steel,warm
0,18,354,PT8_14,PT8,14,12/18/2021,1,31.1,30.9,PT,PVC Test,PVC,warm
0,21,18,CT8_15,CT8,15,12/18/2021,1,29.8,29.8,CT,Copper Test,Copper,warm
5,12,9,CC8_16,CC8,16,12/18/2021,1,23.2,23.1,CC,Copper Control,Copper,cold
21,3,0,PC8_17,PC8,17,12/18/2021,1,22.6,22.6,PC,PVC Control,PVC,cold
43,13,63,SC8_18,SC8,18,12/18/2021,1,22.8,22.8,SC,Steel Control,Steel,cold
10,563,23,ST9_19,ST9,19,12/22/2021,2,31.8,31.6,ST,Steel Test,Steel,warm
0,62,243,PT9_20,PT9,20,12/22/2021,2,30.1,30.8,PT,PVC Test,PVC,warm
0,2375,174,CT9_21,CT9,21,12/22/2021,2,29.8,29.7,CT,Copper Test,Copper,warm
0,483,391,CC9_22,CC9,22,12/22/2021,2,23.2,23.2,CC,Copper Control,Copper,cold
0,605,0,PC9_23,PC9,23,12/22/2021,2,22.8,22.8,PC,PVC Control,PVC,cold
7,454,6,SC9_24,SC9,24,12/22/2021,2,22.7,22.7,SC,Steel Control,Steel,cold
13,114,203,ST10_25,ST10,25,12/25/2021,2,31.5,31.4,ST,Steel Test,Steel,warm
16,33,63,PT10_26,PT10,26,12/25/2021,2,30.8,30.6,PT,PVC Test,PVC,warm
0,244,20,CT10_27,CT10,27,12/25/2021,2,29.7,29.6,CT,Copper Test,Copper,warm
3,191,20,CC10_28,CC10,28,12/25/2021,2,23.3,23.3,CC,Copper Control,Copper,cold
0,321,798,PC10_29,PC10,29,12/25/2021,2,22.9,22.9,PC,PVC Control,PVC,cold
11,101,19,SC10_30,SC10,30,12/25/2021,2,22.5,22.5,SC,Steel Control,Steel,cold
3,516,0,ST11_31,ST11,31,12/29/2021,3,316,31.6,ST,Steel Test,Steel,warm
0,1421,273,PT11_32,PT11,32,12/29/2021,3,30.9,30.9,PT,PVC Test,PVC,warm
0,498,0,CT11_33,CT11,33,12/29/2021,3,30,30,CT,Copper Test,Copper,warm
7,53,55,CC11_34,CC11,34,12/29/2021,3,23.6,23.6,CC,Copper Control,Copper,cold
0,289,0,PC11_35,PC11,35,12/29/2021,3,23.2,23.2,PC,PVC Control,PVC,cold
6,303,1568,SC11_36,SC11,36,12/29/2021,3,22.9,22.9,SC,Steel Control,Steel,cold
0,893,8,ST12_37,ST12,37,1/5/2022,4,31.3,30.3,ST,Steel Test,Steel,warm
0,1756,21,PT12_38,PT12,38,1/5/2022,4,30.1,28.6,PT,PVC Test,PVC,warm
0,1615,210,CT12_39,CT12,39,1/5/2022,4,29.4,28.8,CT,Copper Test,Copper,warm
0,2681,713,CC12_40,CC12,40,1/5/2022,4,23.3,23.3,CC,Copper Control,Copper,cold
4,557,0,PC12_41,PC12,41,1/5/2022,4,23.1,22.9,PC,PVC Control,PVC,cold
0,1070,0,SC12_42,SC12,42,1/5/2022,4,22.9,22.8,SC,Steel Control,Steel,cold
7,76,178,ST13_43,ST13,43,1/8/2022,4,31.4,31.5,ST,Steel Test,Steel,warm
12,264,46,PT13_44,PT13,44,1/8/2022,4,30.7,30.7,PT,PVC Test,PVC,warm
0,635,8,CT13_45,CT13,45,1/8/2022,4,29.8,29.8,CT,Copper Test,Copper,warm
0,996,0,CC13_46,CC13,46,1/8/2022,4,23.5,23.5,CC,Copper Control,Copper,cold
0,240,140,PC13_47,PC13,47,1/8/2022,4,23.1,23.1,PC,PVC Control,PVC,cold
0,232,218,SC13_48,SC13,48,1/8/2022,4,22.9,22.9,SC,Steel Control,Steel,cold
2,2894,109,ST14_49,ST14,49,1/12/2022,5,31,31.6,ST,Steel Test,Steel,warm
0,1280,18,PT14_50,PT14,50,1/12/2022,5,31.2,30.8,PT,PVC Test,PVC,warm
3,1796,785,CT14_51,CT14,51,1/12/2022,5,32.6,32.5,CT,Copper Test,Copper,warm
0,2081,237,CC14_52,CC14,52,1/12/2022,5,23.2,23.2,CC,Copper Control,Copper,cold
0,806,0,PC14_53,PC14,53,1/12/2022,5,22.3,22.3,PC,PVC Control,PVC,cold
0,1064,0,SC14_54,SC14,54,1/12/2022,5,22.4,22.3,SC,Steel Control,Steel,cold
22,238,28,ST15_55,ST15,55,1/15/2022,5,31.3,31.3,ST,Steel Test,Steel,warm
9,291,27,PT15_56,PT15,56,1/15/2022,5,30.6,30.6,PT,PVC Test,PVC,warm
0,844,4,CT15_57,CT15,57,1/15/2022,5,29.6,29.5,CT,Copper Test,Copper,warm
0,1095,4,CC15_58,CC15,58,1/15/2022,5,23.4,23.4,CC,Copper Control,Copper,cold
13,475,310,PC15_59,PC15,59,1/15/2022,5,23.1,23.1,PC,PVC Control,PVC,cold
0,300,124,SC15_60,SC15,60,1/15/2022,5,22.9,22.8,SC,Steel Control,Steel,cold
0,1385,23,ST16_61,ST16,61,1/19/2022,6,31.7,31.6,ST,Steel Test,Steel,warm
0,428,13,PT16_62,PT16,62,1/19/2022,6,30.6,30.8,PT,PVC Test,PVC,warm
0,2630,184,CT16_63,CT16,63,1/19/2022,6,32.3,32.5,CT,Copper Test,Copper,warm
0,5145,629,CC16_64,CC16,64,1/19/2022,6,23,23,CC,Copper Control,Copper,cold
0,1576,6,PC16_65,PC16,65,1/19/2022,6,22.1,22.1,PC,PVC Control,PVC,cold
0,1520,0,SC16_66,SC16,66,1/19/2022,6,22.2,22.2,SC,Steel Control,Steel,cold
0,281,39,ST17_67,ST17,67,1/22/2022,6,31.5,31.5,ST,Steel Test,Steel,warm
6,183,98,PT17_68,PT17,68,1/22/2022,6,30.7,30.8,PT,PVC Test,PVC,warm
0,757,5,CT17_69,CT17,69,1/22/2022,6,29.5,29.5,CT,Copper Test,Copper,warm
0,1044,6,CC17_70,CC17,70,1/22/2022,6,23.3,23.3,CC,Copper Control,Copper,cold
7,276,104,PC17_71,PC17,71,1/22/2022,6,22.9,22.9,PC,PVC Control,PVC,cold
0,206,81,SC17_72,SC17,72,1/22/2022,6,22.7,22.6,SC,Steel Control,Steel,cold